Buch;Unit;Thema;Deutsch;Englisch
IT Matters;1 - My company;Company;Sicherheitsschleuse, Sicherheitstür;security doors
IT Matters;1 - My company;Company;Treppe;stairs
IT Matters;1 - My company;Company;Großraumbüro;open-plan office
IT Matters;1 - My company;Company;sich ruhig verhalten;to keep quiet
IT Matters;1 - My company;Company;stören;to disturb
IT Matters;1 - My company;Company;etwas ausmachen, etwas in Anspruch nehmen;to take up something
IT Matters;1 - My company;Company;sich erstrecken, sich ausdehnen;to extend
IT Matters;1 - My company;Company;weitermachen, fortfahren;to continue
IT Matters;1 - My company;Company;geradeaus;straight ahead
IT Matters;1 - My company;Company;Gang, Weg;walkway
IT Matters;1 - My company;Company;schließlich, zum Schluss;lastly
IT Matters;1 - My company;Company;Wegbeschreibung;directions
IT Matters;1 - My company;Company;den Weg beschreiben;to give direction
IT Matters;1 - My company;Company;tauschen;to swap
IT Matters;1 - My company;Company;jemanden herumführen;to show somebody  around
IT Matters;1 - My company;Company;Grundriss, Lageplan;floor plan
IT Matters;1 - My company;Company;Vorstandsvorsitzende/r, Geschäftsführer/in;CEO 
IT Matters;1 - My company;Company;Aufgabe, Zuständigkeit, Verantwortlichkeit;responsibility
IT Matters;1 - My company;Company;Gesamt, allgemein;overall
IT Matters;1 - My company;Company;Ziel ;goal
IT Matters;1 - My company;Company;Strategie;strategy
IT Matters;1 - My company;Company;jemanden unterstehen;to report to somebody
IT Matters;1 - My company;Company;sich um etwas kümmern;to deal with something
IT Matters;1 - My company;Company;Systemarchitektur;system architecture
IT Matters;1 - My company;Company;Plattform;platform
IT Matters;1 - My company;Company;Systemanalyse;system analysis
IT Matters;1 - My company;Company;maximieren;to maximize
IT Matters;1 - My company;Company;Nutzen, Vorteile;benefit 
IT Matters;1 - My company;Company;Kunde, Kundin;client
IT Matters;1 - My company;Company;etwas nutzen, etwas bestmöglich nutzen;to make the most of something
IT Matters;1 - My company;Company;führen, leiten, vorgesetzt sein;to supervise
IT Matters;1 - My company;Company;mit jemanden zusammenarbeiten;to liaise with somebody
IT Matters;1 - My company;Company;rechtzeitig, pünktlich;on time
IT Matters;1 - My company;Company;Softwareentwicklung;software engineering
IT Matters;1 - My company;Company;Prüfung, Erprobung;testing
IT Matters;1 - My company;Company;veröffentlichen, herausgeben;to release
IT Matters;1 - My company;Company;für etwas zuständig sein, für etwas verantwortlich sein;to be in charge of something
IT Matters;1 - My company;Company;ausführen;to perform
IT Matters;1 - My company;Company;täglich;daily
IT Matters;1 - My company;Company;bei etwas mitmachen, zu etwas stoßen;to join something
IT Matters;1 - My company;Company;Abrechnung, Rechnungsstellung;billing
IT Matters;1 - My company;Company;analysieren;to analyse
IT Matters;1 - My company;Company;Anforderungen, Bedürfnisse, Wünsche;requirements
IT Matters;1 - My company;Company;leitend;senior
IT Matters;1 - My company;Company;ineinandergreifen;to integrate with one another
IT Matters;1 - My company;Company;Ideen, Anregungen;input
IT Matters;1 - My company;Company;Chefentwickler, Hauptentwickler, Chefentwicklerin, Hauptentwicklerin;lead-developer
IT Matters;1 - My company;Company;Entwickler, Entwicklerin;developer
IT Matters;1 - My company;Company;Mit freundlichen Grüßen;Regards
IT Matters;1 - My company;Company;hervorheben;to highlight
IT Matters;1 - My company;Company;einbeziehen, aufnehmen;to include
IT Matters;1 - My company;Company;Organigramm;organization chart
